alpha,variable,value,metric,group,model_number,percent
0.0,acc_0,0.7478726757012292,accuracy,Black,0,74.78726757012292
0.02,acc_0,0.7488181531673496,accuracy,Black,1,74.88181531673496
0.04,acc_0,0.74976363063347,accuracy,Black,2,74.976363063347
0.06,acc_0,0.7507091080995902,accuracy,Black,3,75.07091080995903
0.08,acc_0,0.7516545855657106,accuracy,Black,4,75.16545855657107
0.1,acc_0,0.752600063031831,accuracy,Black,5,75.2600063031831
0.12,acc_0,0.7535455404979514,accuracy,Black,6,75.35455404979514
0.14,acc_0,0.7544910179640718,accuracy,Black,7,75.44910179640718
0.16,acc_0,0.7554364954301922,accuracy,Black,8,75.54364954301921
0.18,acc_0,0.7563819728963126,accuracy,Black,9,75.63819728963126
0.2,acc_0,0.757327450362433,accuracy,Black,10,75.7327450362433
0.22,acc_0,0.7582729278285534,accuracy,Black,11,75.82729278285534
0.24,acc_0,0.7592184052946738,accuracy,Black,12,75.92184052946737
0.26,acc_0,0.7601638827607942,accuracy,Black,13,76.01638827607941
0.28,acc_0,0.7611093602269146,accuracy,Black,14,76.11093602269146
0.3,acc_0,0.762054837693035,accuracy,Black,15,76.2054837693035
0.32,acc_0,0.7630003151591553,accuracy,Black,16,76.30003151591553
0.34,acc_0,0.7639457926252757,accuracy,Black,17,76.39457926252757
0.36,acc_0,0.7648912700913961,accuracy,Black,18,76.48912700913961
0.38,acc_0,0.7658367475575165,accuracy,Black,19,76.58367475575164
0.4,acc_0,0.7667822250236369,accuracy,Black,20,76.6782225023637
0.42,acc_0,0.7677277024897573,accuracy,Black,21,76.77277024897573
0.44,acc_0,0.7686731799558777,accuracy,Black,22,76.86731799558777
0.46,acc_0,0.7696186574219981,accuracy,Black,23,76.9618657421998
0.48,acc_0,0.7705641348881185,accuracy,Black,24,77.05641348881184
0.5,acc_0,0.7715096123542389,accuracy,Black,25,77.15096123542389
0.52,acc_0,0.7724550898203593,accuracy,Black,26,77.24550898203593
0.54,acc_0,0.7734005672864797,accuracy,Black,27,77.34005672864797
0.56,acc_0,0.7743460447526,accuracy,Black,28,77.43460447526
0.58,acc_0,0.7756066813740939,accuracy,Black,29,77.5606681374094
0.6,acc_0,0.7765521588402143,accuracy,Black,30,77.65521588402143
0.62,acc_0,0.7774976363063347,accuracy,Black,31,77.74976363063347
0.64,acc_0,0.7784431137724551,accuracy,Black,32,77.84431137724552
0.66,acc_0,0.7793885912385755,accuracy,Black,33,77.93885912385755
0.68,acc_0,0.7803340687046959,accuracy,Black,34,78.03340687046959
0.7000000000000001,acc_0,0.7812795461708163,accuracy,Black,35,78.12795461708163
0.72,acc_0,0.7822250236369367,accuracy,Black,36,78.22250236369366
0.74,acc_0,0.7831705011030571,accuracy,Black,37,78.31705011030571
0.76,acc_0,0.7841159785691775,accuracy,Black,38,78.41159785691775
0.78,acc_0,0.7850614560352979,accuracy,Black,39,78.50614560352979
0.8,acc_0,0.7860069335014183,accuracy,Black,40,78.60069335014182
0.8200000000000001,acc_0,0.7869524109675387,accuracy,Black,41,78.69524109675386
0.84,acc_0,0.787897888433659,accuracy,Black,42,78.7897888433659
0.86,acc_0,0.7888433658997794,accuracy,Black,43,78.88433658997795
0.88,acc_0,0.7897888433658998,accuracy,Black,44,78.97888433658999
0.9,acc_0,0.7907343208320202,accuracy,Black,45,79.07343208320202
0.92,acc_0,0.7916797982981406,accuracy,Black,46,79.16797982981406
0.9400000000000001,acc_0,0.792625275764261,accuracy,Black,47,79.2625275764261
0.96,acc_0,0.7935707532303813,accuracy,Black,48,79.35707532303813
0.98,acc_0,0.7945162306965017,accuracy,Black,49,79.45162306965017
1.0,acc_0,0.7954617081626221,accuracy,Black,50,79.5461708162622
0.0,fpr_0,0.19960343688037013,false_positive_rate,Black,0,19.960343688037014
0.02,fpr_0,0.19762062128222074,false_positive_rate,Black,1,19.762062128222073
0.04,fpr_0,0.19563780568407138,false_positive_rate,Black,2,19.56378056840714
0.06,fpr_0,0.19365499008592202,false_positive_rate,Black,3,19.365499008592202
0.08,fpr_0,0.19167217448777263,false_positive_rate,Black,4,19.16721744877726
0.1,fpr_0,0.18968935888962327,false_positive_rate,Black,5,18.968935888962328
0.12,fpr_0,0.1877065432914739,false_positive_rate,Black,6,18.77065432914739
0.14,fpr_0,0.18572372769332451,false_positive_rate,Black,7,18.57237276933245
0.16,fpr_0,0.18374091209517515,false_positive_rate,Black,8,18.374091209517516
0.18,fpr_0,0.1817580964970258,false_positive_rate,Black,9,18.17580964970258
0.2,fpr_0,0.1797752808988764,false_positive_rate,Black,10,17.97752808988764
0.22,fpr_0,0.17779246530072704,false_positive_rate,Black,11,17.779246530072705
0.24,fpr_0,0.17580964970257765,false_positive_rate,Black,12,17.580964970257764
0.26,fpr_0,0.17382683410442828,false_positive_rate,Black,13,17.38268341044283
0.28,fpr_0,0.17184401850627892,false_positive_rate,Black,14,17.184401850627893
0.3,fpr_0,0.16986120290812953,false_positive_rate,Black,15,16.986120290812952
0.32,fpr_0,0.16787838730998017,false_positive_rate,Black,16,16.78783873099802
0.34,fpr_0,0.1658955717118308,false_positive_rate,Black,17,16.58955717118308
0.36,fpr_0,0.16391275611368142,false_positive_rate,Black,18,16.39127561136814
0.38,fpr_0,0.16192994051553206,false_positive_rate,Black,19,16.192994051553207
0.4,fpr_0,0.1599471249173827,false_positive_rate,Black,20,15.99471249173827
0.42,fpr_0,0.1579643093192333,false_positive_rate,Black,21,15.79643093192333
0.44,fpr_0,0.15598149372108394,false_positive_rate,Black,22,15.598149372108395
